"Numbers per city of Museums, Archives, Libraries with a free entry cost",,,
City,Museums_Number,Archives_Number,Libraries_Number
Manerba_del_Garda,1,0,0
Manerbio,1,0,0
Manfredonia,1,0,0
Maniago,1,0,0
Mantova,3,1,0
Maratea,1,0,0
Marchirolo,1,0,0
Marineo,1,0,0
Marino,1,0,0
Masone,1,0,0
Massa_Fermana,1,0,0
Massa_Fiscaglia,1,0,0
Massa_Lombarda,2,0,0
Matera,0,1,0
Mazara_del_Vallo,1,0,0
Medesano,1,0,0
Medicina,1,0,0
Medole,1,0,0
Meldola,2,0,0
Mendatica,1,0,0
Mentana,1,0,0
Mercatello_sul_Metauro,1,0,0
Mercogliano,1,0,0
Mereto_di_Tomba,1,0,0
Messina,1,1,0
Migliarino,1,0,0
Milano,10,1,1
Milazzo,2,0,0
Mileto,1,0,0
Milis,1,0,0
Millesimo,1,0,0
Mirabella_Eclano,2,0,0
Mistretta,1,0,0
Moconesi,2,0,0
Modena,21,1,1
Modica,0,1,0
Modigliana,1,0,0
Moimacco,2,0,0
Moio_della_Civitella,1,0,0
Molfetta,3,0,0
Mombaroccio,2,0,0
Mondragone,1,0,0
Monfalcone,3,0,0
Monghidoro,1,0,0
Mongrassano,1,0,0
Monreale,1,0,0
Monrupino,1,0,0
Monsummano_Terme,1,0,0
Monte_Compatri,1,0,0
Monte_San_Giusto,1,0,0
Montebruno,1,0,0
Montecalvo_Irpino,1,0,0
Montecchio,1,0,0
Montecchio_Emilia,2,0,0
Montechiaro_d_Acqui,1,0,0
Montechiarugolo,1,0,0
Montecorice,1,0,0
Montefelcino,1,0,0
Montefiascone,1,0,0
Montefusco,1,0,0
Montegridolfo,1,0,0
Montegrosso_Pian_Latte,1,0,0
Monteleone_Sabino,1,0,0
Montella,1,0,0
Montelupone,1,0,0
Montemaggiore_al_Metauro,1,0,0
Montemarano,2,0,0
Montereale_Valcellina,1,0,0
Monterenzio,1,0,0
Montesano_sulla_Marcellana,1,0,0
Montescaglioso,1,0,0
Montescudo,2,0,0
Montese,3,0,0
Monticelli_d_Ongina,2,0,0
Montichiari,3,0,0
Montoro_Inferiore,1,0,0
Morbegno,1,0,0
Morcone,1,0,0
Morigerati,1,0,0
Morra_De_Sanctis,1,0,0
Morro_d_Oro,1,0,0
Mottafollone,1,0,0
Muggia,4,0,0
Murialdo,1,0,0
Napoli,15,1,2
Ne,1,0,0
Neoneli,1,0,0
Nepi,1,0,0
Nettuno,1,0,0
Neviano_degli_Arduini,3,0,0
Nizza_Monferrato,1,0,0
Nocciano,1,0,0
Nocera_Inferiore,3,0,0
Noceto,1,0,0
Nola,3,0,0
Nonantola,1,0,0
Norma,1,0,0
Nova_Ponente_Deutschnofen,1,0,0
Novara,1,1,0
Novate_Mezzola,1,0,0
Novellara,2,0,0
Novi_Ligure,1,0,0
Noviglio,1,0,0
Nuoro,0,1,0
Nusco,1,0,0
Olevano_Romano,1,0,0
Oliveto_Citra,1,0,0
Oppido_Mamertina,1,0,0
Orani,1,0,0
Oria,1,0,0
Oristano,0,1,0
Orte,3,0,0
Ortona,1,0,0
Ortonovo,1,0,0
Ostellato,2,0,0
Ostiano,1,0,0
Ostiglia,1,0,0
Ottone,1,0,0
Ozieri,1,0,0
Ozzano_dell_Emilia,5,0,0
Paderno_Ponchielli,1,0,0
Padova,0,0,2
Padula,2,0,0
Pagani,3,0,0
Palazzo_San_Gervasio,1,0,0
Palena,1,0,0
Palermo,1,0,0
Palestrina,1,0,0
Palmanova,2,0,0
Palmi,4,1,0
Palombara_Sabina,1,0,0
Paluzza,1,0,0
Parabiago,1,0,0
Parabita,1,0,0
Parma,13,1,1
Pavia,2,1,1
Pegognaga,1,0,0
Pellezzano,1,0,0
Pennabilli,1,0,0
Perdifumo,2,0,0
Perinaldo,1,0,0
Perloz,1,0,0
Pertica_Bassa,1,0,0
Pertosa,1,0,0
Perugia,1,1,0
Pesaro,2,1,0
Pescara,2,1,0
Pescarolo_ed_Uniti,1,0,0
Pescina,1,0,0
Piacenza,9,0,0
Pianello_Val_Tidone,1,0,0
Pianezza,1,0,0
Piano_di_Sorrento,1,0,0
Pianoro,2,0,0
Pietrabruna,1,0,0
Pietramelara,1,0,0
Pietrelcina,2,0,0
Pieve_Torina,1,0,0
Pieve_di_Cadore,1,0,0
Pieve_di_Cento,2,0,0
Pieve_di_Teco,1,0,0
Pignataro_Maggiore,1,0,0
Pisa,0,1,1
Pisoniano,1,0,0
Pistoia,6,0,0
Pizzighettone,1,0,0
Poggibonsi,1,0,0
Poggio_Berni,1,0,0
Polcenigo,1,0,0
Polla,1,0,0
Pollica,1,0,0
Pompei,1,0,0
Pompeiana,1,0,0
Pont-Canavese,1,0,0
Pont-Saint-Martin,1,0,0
Ponte_Nossa,1,0,0
Pontedassio,1,0,0
Pontelandolfo,1,0,0
Ponti_sul_Mincio,1,0,0
Pontida,1,0,0
Ponza,1,0,0
Pordenone,1,0,0
Porretta_Terme,1,0,0
Portalbera,1,0,0
Porto_Recanati,1,0,0
Portovenere,1,0,0
Posta_Fibreno,1,0,0
Potenza,1,1,1
Potenza_Picena,1,0,0
Poviglio,1,0,0
Pozzolo_Formigaro,1,0,0
Pozzuoli,1,0,0
Pragelato,1,0,0
Prata_Sannita,1,0,0
Prato,3,1,0
Prato_Carnico,2,0,0
Pratola_Peligna,1,0,0
Preci,1,0,0
Prela,1,0,0
Premilcuore,1,0,0
Preone,1,0,0
Priverno,1,0,0
Proceno,1,0,0
Procida,1,0,0
Quistello,2,0,0
Raddusa,1,0,0
Ragogna,1,0,0
Ragusa,1,1,0
Ramacca,1,0,0
Ranco,1,0,0
Ranzo,1,0,0
Rapallo,2,0,0
Ravanusa,1,0,0
Ravello,2,0,0
Ravenna,8,1,0
Reggio_di_Calabria,1,1,0
Reggio_nell_Emilia,9,0,0
Reggiolo,1,0,0
Remedello,1,0,0
Resia,3,0,0
Resiutta,1,0,0
Rezzo,1,0,0
Riccione,1,0,0
Rieti,1,1,0
Rimini,4,1,0
Riolo_Terme,1,0,0
Ripi,1,0,0
Rocca_San_Felice,1,0,0
Roccabianca,1,0,0
Roccagloriosa,1,0,0
Rolo,1,0,0
Roma,52,3,7
Romagnese,1,0,0
Romano_di_Lombardia,2,0,0
Ronchi_dei_Legionari,1,1,0
Ronco_Scrivia,1,0,0
Roncofreddo,2,0,0
Rondanina,1,0,0
Rosarno,1,0,0
Roscigno,2,0,0
Roseto_degli_Abruzzi,1,0,0
Rosignano_Marittimo,1,0,0
Rossiglione,1,0,0
Rovigo,0,1,0
Rubiera,1,0,0
Russi,4,0,0
Rutigliano,2,0,0
Ruviano,1,0,0
Ruvo_di_Puglia,1,0,0
Sabaudia,2,0,0
Sacile,1,0,0
Saint-Vincent,1,0,0
Sala_Bolognese,1,0,0
Sala_Consilina,1,0,0
Salemi,1,0,0
Salerno,8,1,0
Salo,1,0,0
Salsomaggiore_Terme,2,0,0
Saludecio,1,0,0
Sambuca_Pistoiese,1,0,0
Sambuca_di_Sicilia,1,0,0
San_Colombano_Certenoli,2,0,0
San_Daniele_del_Friuli,1,0,0
San_Demetrio_ne__Vestini,1,0,0
San_Donato_Val_di_Comino,1,0,0
San_Felice_Circeo,1,0,0
San_Felice_sul_Panaro,1,0,0
San_Giorgio_Canavese,1,0,0
San_Giorgio_della_Richinvelda,1,0,0
San_Giovanni_Bianco,1,0,0
San_Giovanni_Rotondo,1,0,0
San_Giovanni_Valdarno,1,0,0
San_Giovanni_in_Fiore,1,0,0
San_Giovanni_in_Marignano,1,0,0
San_Giovanni_in_Persiceto,1,0,0
San_Lazzaro_di_Savena,1,0,0
San_Marco_dei_Cavoti,1,0,0
San_Martino_in_Rio,3,0,0
San_Nicola_la_Strada,1,0,0
San_Pellegrino_Terme,1,0,0
San_Pietro_Infine,1,0,0
San_Pietro_al_Natisone,1,0,0
San_Pietro_in_Casale,1,0,0
San_Pietro_in_Cerro,1,0,0
San_Polo_d_Enza,1,0,0
San_Potito_Ultra,1,0,0
San_Salvatore_Telesino,1,0,0
San_Severo,1,0,0
San_Teodoro,1,0,0
San_Vito_al_Tagliamento,1,0,0
San_Vito_dei_Normanni,1,0,0
Sanfront,1,0,0
Sanremo,3,0,0
Sant_Agata_Feltria,1,0,0
Sant_Agostino,1,0,0
Sant_Anastasia,1,0,0
Sant_Angelo_Lodigiano,2,0,0
Sant_Arpino,1,0,0
Sant_Eusanio_del_Sangro,1,0,0
Santa_Maria_Capua_Vetere,2,0,0
Santa_Marinella,2,0,0
Santa_Severina,1,0,0
Santa_Sofia,1,0,0
Santarcangelo_di_Romagna,2,0,0
Santo_Stefano_di_Camastra,1,0,0
Sarnico,1,0,0
Sarno,1,0,0
Sarsina,1,0,0
Sassari,0,1,1
Sassello,1,0,0
Sassuolo,3,0,0
Sauris,2,0,0
Savignano_sul_Panaro,1,0,0
Savignano_sul_Rubicone,1,0,0
Savignone,1,0,0
Savona,4,0,0
Scalea,1,0,0
Scarlino,1,0,0
Schio,4,0,0
Sciacca,1,0,0
Seborga,1,0,0
Sedegliano,1,0,0
Sefro,1,0,0
Senigallia,3,0,0
Sequals,2,0,0
Sermoneta,3,0,0
Serramazzoni,1,0,0
Serrapetrona,1,0,0
Serravalle_Scrivia,1,0,0
Serravalle_Sesia,1,0,0
Serrone,1,0,0
Sessa_Aurunca,3,0,0
Sesto_al_Reghena,1,0,0
Sestola,1,0,0
Sezze,4,0,0
Siena,4,1,0
Siligo,1,0,0
Siracusa,0,1,0
Sogliano_al_Rubicone,5,0,0
Solarolo,2,0,0
Solopaca,1,0,0
Somma_Vesuviana,1,0,0
Sondrio,1,0,0
Sora,1,0,0
Soragna,1,0,0
Sordevolo,1,0,0
Soresina,1,0,0
Sorrento,1,0,0
Sotto_il_Monte_Giovanni_XXIII,1,0,0
Spilamberto,2,0,0
Spilimbergo,1,0,0
Spinetoli,1,0,0
Spoleto,0,1,0
Stazzano,1,0,0
Stigliano,1,0,0
Subiaco,0,0,1
Sulmona,1,1,0
Sutri,1,0,0
Taggia,1,0,0
Talamello,1,0,0
Tarcento,1,0,0
Tarquinia,1,0,0
Taverna,1,0,0
Teano,1,0,0
Teggiano,4,0,0
Teolo,0,0,1
Teramo,2,1,0
Terlizzi,1,0,0
Termini_Imerese,1,0,0
Terni,0,1,0
Terracina,1,0,0
Terranova_di_Pollino,1,0,0
Terzigno,1,0,0
Tirano,1,0,0
Tolentino,2,0,0
Tolfa,1,0,0
Torgiano,1,0,0
Torgnon,2,0,0
Torino,2,0,1
Torre_San_Giorgio,1,0,0
Torre_del_Greco,2,0,0
Tortoli,1,0,0
Tortona,1,0,0
Torviscosa,1,0,0
Toscolano-Maderno,1,0,0
Tradate,2,0,0
Trani,1,0,0
Travagliato,1,0,0
Trento,0,1,0
Trequanda,1,0,0
Trevico,1,0,0
Treviglio,1,0,0
Trevignano_Romano,1,0,0
Treviso,0,1,0
Tricarico,1,0,0
Trieste,18,1,1
Trivigliano,1,0,0
Tuscania,2,0,0
Udine,2,1,0
Urbino,2,1,0
Uscio,1,0,0
Ussita,1,0,0
Vaiano,1,0,0
Vaie,1,0,0
Valfurva,1,0,0
Vallecrosia,1,0,0
Vallepietra,1,0,0
Vallo_della_Lucania,1,0,0
Valmontone,1,0,0
Valmozzola,1,0,0
Valvestino,1,0,0
Varallo,0,1,0
Varazze,1,0,0
Vasanello,1,0,0
Venegono_Inferiore,1,0,0
Venezia,0,1,0
Ventimiglia,1,0,0
Ventotene,1,0,0
Venzone,1,0,0
Verbania,0,1,0
Vercelli,0,1,0
Verdello,1,0,0
Veroli,2,0,1
Verona,0,1,0
Verucchio,1,0,0
Verzegnis,1,0,0
Vetto,1,0,0
Viadana,1,0,0
Viareggio,1,0,0
Vibo_Valentia,0,1,0
Vicenza,1,0,0
Vico_Equense,1,0,0
Vigarano_Mainarda,1,0,0
Vigevano,3,0,0
Vignola,1,0,0
Vigolzone,1,0,0
Villa_Lagarina,1,0,0
Villa_Minozzo,2,0,0
Villa_d_Alme,1,0,0
Virgilio,1,0,0
Viterbo,6,1,0
Vivaro,2,0,0
Voghera,1,0,0
Voghiera,1,0,0
Zibello,1,0,0
Zignago,1,0,0
Zocca,1,0,0
Zogno,1,0,0
TOTAL,1370,106,37
