"Numbers per City of Museums, Archives, Libraries with a ticket entry cost",,,
City,Museums_Number,Archives_Number,Libraries_Number
Colle_San_Magno,1,0,0
Colle_di_Val_d_Elsa,1,0,0
Collecchio,2,0,0
Colleferro,1,0,0
Colorno,1,0,0
Comacchio,2,0,0
Como,5,0,0
Compiano,1,0,0
Contessa_Entellina,1,0,0
Conversano,3,0,0
Corfinio,1,0,0
Cori,1,0,0
Corigliano_Calabro,1,0,0
Corinaldo,1,0,0
Cortaccia_sulla_strada_del_vino_Kurtatsch_an_der_Weinstrasse,1,0,0
Corteno_Golgi,1,0,0
Cortina_d_Ampezzo,1,0,0
Cosenza,2,0,0
Costigliole_Saluzzo,1,0,0
Costigliole_d_Asti,1,0,0
Courmayeur,1,0,0
Crecchio,1,0,0
Cremona,2,0,0
Crodo,1,0,0
Crotone,1,0,0
Cupra_Marittima,1,0,0
Cupramontana,1,0,0
Deliceto,1,0,0
Desenzano_del_Garda,2,0,0
Dolianova,1,0,0
Domodossola,2,0,0
Dorgali,3,0,0
Dozza,1,0,0
Dronero,1,0,0
Duino-Aurisina,1,0,0
Eboli,1,0,0
Elva,1,0,0
Ercolano,1,0,0
Este,1,0,0
Fabriano,3,0,0
Faenza,2,0,0
Fagagna,1,0,0
Falconara_Marittima,1,0,0
Fano,1,0,0
Fara_San_Martino,1,0,0
Farra_d_Isonzo,1,0,0
Fasano,1,0,0
Felino,1,0,0
Felonica,1,0,0
Fenestrelle,1,0,0
Fenis,1,0,0
Fermo,2,0,0
Ferrara,6,0,0
Fidenza,1,0,0
Finale_Ligure,1,0,0
Firenze,21,0,0
Fiumicino,1,0,0
Floridia,1,0,0
Fluminimaggiore,1,0,0
Foggia,1,0,0
Folgaria,1,0,0
Fondi,1,0,0
Fontanellato,1,0,0
Forli,1,0,0
Forlimpopoli,1,0,0
Formia,1,0,0
Fortezza_Franzensfeste,1,0,0
Fossombrone,2,0,0
Frabosa_Sottana,1,0,0
Frascineto,3,0,0
Fratta_Polesine,1,0,0
Fratte_Rosa,1,0,0
Frosinone,1,0,0
Frossasco,1,0,0
Funes_Villnoess,1,0,0
Gagliole,1,0,0
Gais_Gais,1,0,0
Galbiate,2,0,0
Gallarate,1,0,0
Gambolo,1,0,0
Gandino,1,0,0
Gardone_Val_Trompia,1,0,0
Gargnano,1,0,0
Garlate,1,0,0
Garlenda,1,0,0
Gavardo,1,0,0
Gazoldo_degli_Ippoliti,2,0,0
Gela,1,0,0
Gemonio,1,0,0
Genga,1,0,0
Genoni,1,0,0
Genova,21,0,0
Giardini-Naxos,1,0,0
Gioia_del_Colle,1,0,0
Giulianova,1,0,0
Golasecca,1,0,0
Gonnostramatza,1,0,0
Gorizia,5,0,0
Gravina_in_Puglia,1,0,0
Grosio,1,0,0
Grotte_di_Castro,1,0,0
Grumento_Nova,1,0,0
Guardiagrele,1,0,0
Gubbio,1,0,0
Guspini,1,0,0
Imola,1,0,0
Imperia,4,0,0
Introd,1,0,0
Irgoli,1,0,0
Irsina,1,0,0
Isernia,2,0,0
Ivrea,1,0,0
Jelsi,1,0,0
Jesi,2,0,0
Jovencan,1,0,0
L_Aquila,1,0,0
La_Maddalena,2,0,0
La_Spezia,6,0,0
Lainate,1,0,0
Lama_dei_Peligni,1,0,0
Lana_Lana,1,0,0
Langhirano,1,0,0
Lanzo_d_Intelvi,1,0,0
Latiano,1,0,0
Latina,1,0,0
Lavarone,1,0,0
Lecco,4,0,0
Lipari,1,0,0
Locri,1,0,0
Lodi,1,0,0
Lonato_del_Garda,1,0,0
Longiano,1,0,0
Loreto_Aprutino,1,0,0
Loro_Piceno,2,0,0
Lorsica,1,0,0
Lovere,1,0,0
Lubriano,1,0,0
Lucca,2,0,0
Lucera,1,0,0
Luras,1,0,0
Luserna,1,0,0
Macerata,1,0,0
Macerata_Feltria,1,0,0
Macomer,1,0,0
Maddaloni,1,0,0
Maglie,1,0,0
Magreglio,1,0,0
Maiolati_Spontini,1,0,0
Mairago,1,0,0
Maissana,1,0,0
Malborghetto_Valbruna,1,0,0
Malegno,1,0,0
Malles_Venosta_Mals,1,0,0
Mammola,1,0,0
Mamoiada,2,0,0
Mandas,1,0,0
Manfredonia,1,0,0
Maniago,1,0,0
Mantova,6,0,0
Maranello,1,0,0
Marostica,1,0,0
Marsala,2,0,0
Martina_Franca,1,0,0
Marzabotto,1,0,0
Massa_Marittima,3,0,0
Masserano,1,0,0
Matelica,3,0,0
Matera,5,0,0
Mattinata,1,0,0
Mazzano,3,0,0
Mazze,1,0,0
Melegnano,1,0,0
Melfi,1,0,0
Mentana,1,0,0
Merano_Meran,3,0,0
Mesagne,1,0,0
Mesola,1,0,0
Messina,3,0,0
Micigliano,1,0,0
Milano,23,0,0
Mineo,1,0,0
Modena,2,0,0
Modigliana,1,0,0
Mogliano_Veneto,1,0,0
Molfetta,1,0,0
Monasterace,1,0,0
Monastero_Bormida,1,0,0
Mondaino,2,0,0
Mondavio,1,0,0
Monopoli,1,0,0
Monsampolo_del_Tronto,1,0,0
Montalcino,1,0,0
Montalto_delle_Marche,1,0,0
Monte_Rinaldo,1,0,0
Monte_San_Martino,1,0,0
Monte_Sant_Angelo,1,0,0
Montecatini_Val_di_Cecina,1,0,0
Montefiore_dell_Aso,1,0,0
Montefiorino,1,0,0
Monteodorisio,1,0,0
Monterchi,1,0,0
Monterubbiano,2,0,0
Montesarchio,1,0,0
Montichiari,1,0,0
Montone,1,0,0
Montopoli_di_Sabina,1,0,0
Monza,1,0,0
Morgongiori,1,0,0
Morro_d_Alba,1,0,0
Mosciano_Sant_Angelo,1,0,0
Moso_in_Passiria_Moos_in_Passeier,1,0,0
Murlo,1,0,0
Muro_Leccese,1,0,0
Muro_Lucano,1,0,0
Napoli,20,0,0
Narni,2,0,0
Nazzano,1,0,0
Ne,1,0,0
Nemi,1,0,0
Nichelino,1,0,0
Noceto,1,0,0
Norcia,1,0,0
Norma,1,0,0
Notaresco,1,0,0
Noto,1,0,0
Novara,2,0,0
Numana,1,0,0
Nuoro,4,0,0
Offagna,2,0,0
Offida,1,0,0
Oltre_il_Colle,1,0,0
Ome,1,0,0
Orani,1,0,0
Orbetello,1,0,0
Orciano_di_Pesaro,1,0,0
Oristano,1,0,0
Orosei,1,0,0
Orroli,1,0,0
Ortacesus,1,0,0
Orte,1,0,0
Ortisei_St__Ulrich,1,0,0
Ortona,1,0,0
Ortonovo,1,0,0
Orvieto,1,0,0
Osimo,2,0,0
Ozieri,1,0,0
Padria,1,0,0
Palau,1,0,0
Palazzolo_Acreide,1,0,0
Palermo,9,0,0
Palestrina,1,0,0
Palmoli,1,0,0
Parcines_Partschins,2,0,0
Parma,6,0,0
Partanna,1,0,0
Pastena,1,0,0
Patti,1,0,0
Pau,1,0,0
Pavia,3,0,0
Pavullo_nel_Frignano,1,0,0
Pennabilli,2,0,0
Penne,1,0,0
Perfugas,1,0,0
Pergola,1,0,0
Perugia,3,0,0
Pesaro,4,0,0
Pescara,4,0,0
Pescopennataro,1,0,0
Piacenza,3,0,0
Piadena,1,0,0
Pianello_del_Lario,1,0,0
Piasco,1,0,0
Piazza_Armerina,1,0,0
Picciano,1,0,0
Piegaro,1,0,0
Pienza,1,0,0
Pietraroja,1,0,0
Pieve_di_Cento,1,0,0
Pieve_di_Teco,1,0,0
Pinerolo,4,0,0
Pioraco,2,0,0
Piovera,1,0,0
Pisa,4,0,0
Piscina,1,0,0
Pistoia,3,0,0
Piuro,1,0,0
Ploaghe,1,0,0
Pofi,1,0,0
Policoro,1,0,0
Pollenza,1,0,0
Pompeiana,1,0,0
Ponte_di_Legno,1,0,0
Pontecagnano_Faiano,1,0,0
Pordenone,3,0,0
Portici,1,0,0
Portoferraio,2,0,0
Portogruaro,1,0,0
Potenza,1,0,0
Prali,1,0,0
Prato,3,0,0
Prato_Carnico,1,0,0
Predoi_Prettau,1,0,0
Premana,1,0,0
Priverno,1,0,0
Pula,1,0,0
Putignano,1,0,0
Quarto_d_Altino,1,0,0
Racines_Ratschings,2,0,0
Ragusa,1,0,0
Rapallo,1,0,0
Ravenna,3,0,0
Recanati,3,0,0
Reggio_di_Calabria,3,0,0
Remanzacco,1,0,0
Remedello,1,0,0
Revere,1,0,0
Rezzato,1,0,0
Riccione,1,0,0
Riesi,1,0,0
Rieti,1,0,0
Rimini,4,0,0
Riofreddo,1,0,0
Ripatransone,2,0,0
Rivisondoli,1,0,0
Roccagorga,1,0,0
Roccavaldina,1,0,0
Rocchetta_a_Volturno,1,0,0
Rodengo_Saiano,1,0,0
Rodigo,1,0,0
Roma,45,0,0
Romano_di_Lombardia,1,0,0
Roncegno_Terme,1,0,0
Ronco_Scrivia,1,0,0
Roncoferraro,1,0,0
Rosarno,1,0,0
Rosta,1,0,0
Rovereto,1,0,0
Roviano,1,0,0
Ruvo_di_Puglia,1,0,0
Sabbioneta,1,0,0
Sala_Consilina,1,0,0
Salbertrand,1,0,0
Salerno,2,0,0
Saliceto,1,0,0
Salo,2,0,0
Saluzzo,4,0,0
Samarate,1,0,0
Samugheo,1,0,0
San_Benedetto_Po,1,0,0
San_Benedetto_del_Tronto,3,0,0
San_Casciano_in_Val_di_Pesa,1,0,0
San_Daniele_Po,1,0,0
San_Dona_di_Piave,1,0,0
San_Giorgio_di_Pesaro,1,0,0
San_Giovanni_Bianco,1,0,0
San_Giovanni_in_Persiceto,2,0,0
San_Leo,1,0,0
San_Lorenzo_di_Sebato_St__Lorenzen,1,0,0
San_Lorenzo_in_Campo,1,0,0
San_Mauro_Pascoli,1,0,0
San_Michele_all_Adige,1,0,0
San_Salvo,1,0,0
San_Severino_Marche,1,0,0
Sanluri,1,0,0
Sanremo,4,0,0
Sant_Agata_Bolognese,1,0,0
Sant_Agata_Feltria,1,0,0
Sant_Ambrogio_di_Torino,1,0,0
Sant_Anatolia_di_Narco,1,0,0
Sant_Angelo_in_Vado,1,0,0
Sant_Antioco,2,0,0
Sant_Elpidio_a_Mare,1,0,0
Sant_Oreste,1,0,0
Sant_Orsola_Terme,1,0,0
Santa_Margherita_di_Belice,1,0,0
Santa_Maria_Capua_Vetere,1,0,0
Santa_Marinella,1,0,0
Santadi,2,0,0
Santarcangelo_di_Romagna,1,0,0
Sardara,1,0,0
Sarezzo,1,0,0
Sarnano,1,0,0
Saronno,2,0,0
Sarsina,1,0,0
Sartirana_Lomellina,1,0,0
Sassari,5,0,0
Sassoferrato,1,0,0
Savigliano,3,0,0
Savoca,1,0,0
Savona,4,0,0
Scaletta_Zanclea,1,0,0
Schilpario,2,0,0
Seborga,1,0,0
Senago,1,0,0
Senorbi,1,0,0
Sepino,1,0,0
Serra_San_Quirico,1,0,0
Serravalle_di_Chienti,1,0,0
Sestri_Levante,2,0,0
Seui,1,0,0
Sezze,2,0,0
Sgonico,1,0,0
Siddi,2,0,0
Siena,2,0,0
Sinnai,1,0,0
Sirmione,1,0,0
Solferino,1,0,0
Soncino,1,0,0
Sondrio,1,0,0
Sonnino,1,0,0
Soragna,2,0,0
Sorrento,1,0,0
Sorso,1,0,0
Sperlonga,1,0,0
Spilamberto,1,0,0
Spoleto,3,0,0
Stintino,1,0,0
Stra,1,0,0
Stradella,2,0,0
Succivo,1,0,0
Suni,1,0,0
Taormina,1,0,0
Taranto,1,0,0
Tarquinia,1,0,0
Tavernole_sul_Mella,1,0,0
Temu,1,0,0
Termini_Imerese,1,0,0
Terrasini,1,0,0
Teti,1,0,0
Tignale,1,0,0
Tirolo_Tirol,1,0,0
Toirano,1,0,0
Tolentino,2,0,0
Tonezza_del_Cimone,1,0,0
Torino,18,0,0
Torre_de__Passeri,1,0,0
Tossicia,1,0,0
Tovo_San_Giacomo,1,0,0
Trarego_Viggiona,1,0,0
Traversella,1,0,0
Traversetolo,2,0,0
Travo,1,0,0
Treia,1,0,0
Tremezzo,1,0,0
Trento,4,0,0
Treppo_Carnico,1,0,0
Trevi,1,0,0
Treviso,1,0,0
Trieste,15,0,0
Triora,1,0,0
Trivero,,1,0
Troia,1,0,0
Tusa,1,0,0
Udine,1,0,0
Ulassai,1,0,0
Umbertide,1,0,0
Urbania,1,0,0
Urbino,3,0,0
Urbisaglia,1,0,0
Urgnano,1,0,0
Usseglio,1,0,0
Valentano,1,0,0
Valle_Aurina_Ahrntal,1,0,0
Valtorta,2,0,0
Valvestino,1,0,0
Varenna,2,0,0
Varese,6,0,0
Varna_Vahrn,1,0,0
Vasto,1,0,0
Velletri,1,0,0
Venafro,2,0,0
Venaria_Reale,2,0,0
Venezia,10,0,1
Venosa,1,0,0
Ventimiglia,2,0,0
Verbania,3,0,0
Vercelli,3,0,0
Vernasca,1,0,0
Verona,7,0,0
Verucchio,2,0,0
Viareggio,1,0,0
Vibo_Valentia,1,0,0
Vicenza,1,0,0
Vico_Equense,1,0,0
Viddalba,1,0,0
Vigevano,3,0,0
Villanovaforru,1,0,0
Villasimius,1,0,0
Villavallelonga,1,0,0
Villetta_Barrea,2,0,0
Villimpenta,1,0,0
Vimercate,1,0,0
Vinci,1,0,0
Vipiteno_Sterzing,1,0,0
Visso,1,0,0
Viterbo,1,0,0
Vittorio_Veneto,1,0,0
Voghera,1,0,0
Voghiera,1,0,0
Zavattarello,1,0,0
Zogno,1,0,0
Zola_Predosa,1,0,0
Zuglio,1,0,0
TOTAL,1186,1,1
