Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,,,Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,
"                     precedenti l'intervista per numero di libri letti, regione, ripartizione geografica e tipo ",,,,,,,,,,,,,,"                                  precedenti l'intervista per numero di libri letti, regione, ripartizione geografica e tipo ",,,,,,,,,,,,
                     di comune - Anno 2012,,,,,,,,,,,,,,                                  di comune - Anno 2012,,,,,,,,,,,,
                     (dati in migliaia),,,,,,,,,,,,,,                                  (per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,
                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,
"REGIONI,
RIPARTIZIONI GEOGRAFICHE
E TIPI DI COMUNE","Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,,,"REGIONI, RIPARTIZIONI GEOGRAFICHE
E TIPI DI COMUNE","Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,
Friuli-Venezia Giulia                 ,"1,159",629,,245,160,101,123,,,,,,,Friuli-Venezia Giulia                 ,54.3,,21.1,13.8,8.7,10.6,,38.9,25.5,16.1,19.5,100.0
Emilia-Romagna                        ,"4,176","2,231",,915,560,355,401,,,,,,,Emilia-Romagna                        ,53.4,,21.9,13.4,8.5,9.6,,41.0,25.1,15.9,18.0,100.0
Toscana                               ,"3,539","1,731",,770,422,295,244,,,,,,,Toscana                               ,48.9,,21.8,11.9,8.3,6.9,,44.5,24.4,17.0,14.1,100.0
Umbria                                ,854,375,,188,84,57,47,,,,,,,Umbria                                ,43.9,,22.0,9.8,6.6,5.5,,50.0,22.3,15.1,12.6,100.0
Marche                                ,"1,475",652,,325,158,103,66,,,,,,,Marche                                ,44.2,,22.0,10.7,7.0,4.5,,49.8,24.3,15.8,10.1,100.0
Lazio                                 ,"5,400","2,643",,"1,216",624,400,403,,,,,,,Lazio                                 ,49.0,,22.5,11.5,7.4,7.5,,46.0,23.6,15.1,15.3,100.0
Abruzzo                               ,"1,269",510,,265,133,68,44,,,,,,,Abruzzo                               ,40.2,,20.9,10.5,5.3,3.5,,52.0,26.0,13.3,8.7,100.0
Molise                                ,303,109,,64,22,14,8,,,,,,,Molise                                ,36.0,,21.3,7.2,4.7,2.8,,59.0,20.1,13.2,7.7,100.0
Campania                              ,"5,459","1,759",,"1,055",385,195,123,,,,,,,Campania                              ,32.2,,19.3,7.1,3.6,2.3,,60.0,21.9,11.1,7.0,100.0
Puglia                                ,"3,850","1,219",,733,277,136,73,,,,,,,Puglia                                ,31.7,,19.0,7.2,3.5,1.9,,60.1,22.7,11.2,6.0,100.0
Basilicata                            ,556,186,,107,45,22,12,,,,,,,Basilicata                            ,33.5,,19.3,8.1,3.9,2.2,,57.6,24.2,11.6,6.6,100.0
Calabria                              ,"1,893",655,,389,141,76,48,,,,,,,Calabria                              ,34.6,,20.6,7.5,4.0,2.5,,59.5,21.6,11.6,7.4,100.0
Sicilia                               ,"4,734","1,552",,881,349,186,135,,,,,,,Sicilia                               ,32.8,,18.6,7.4,3.9,2.9,,56.8,22.5,12.0,8.7,100.0
Sardegna                              ,"1,586",727,,320,179,111,117,,,,,,,Sardegna                              ,45.8,,20.2,11.3,7.0,7.4,,44.0,24.7,15.3,16.1,100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Nord-ovest,"15,173","8,063",,"3,218","2,070","1,338","1,437",,,,,,,Nord-ovest,53.1,,21.2,13.6,8.8,9.5,,39.9,25.7,16.6,17.8,100.0
Nord-est,"10,930","6,037",,"2,522","1,487",973,"1,055",,,,,,,Nord-est,55.2,,23.1,13.6,8.9,9.7,,41.8,24.6,16.1,17.5,100.0
Centro,"11,267","5,402",,"2,499","1,287",855,761,,,,,,,Centro,47.9,,22.2,11.4,7.6,6.7,,46.3,23.8,15.8,14.1,100.0
Sud,"13,329","4,438",,"2,614","1,003",511,310,,,,,,,Sud,33.3,,19.6,7.5,3.8,2.3,,58.9,22.6,11.5,7.0,100.0
Isole,"6,320","2,279",,"1,201",528,297,252,,,,,,,Isole,36.1,,19.0,8.4,4.7,4.0,,52.7,23.2,13.1,11.1,100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune centro dell'area metropolitana ,"8,482","4,524",,"1,878","1,112",729,806,,,,,,,Comune centro dell'area metropolitana ,53.3,,22.1,13.1,8.6,9.5,,41.5,24.6,16.1,17.8,100.0
Periferia dell'area metropolitana     ,"6,927","3,321",,"1,486",790,555,490,,,,,,,Periferia dell'area metropolitana     ,47.9,,21.5,11.4,8.0,7.1,,44.7,23.8,16.7,14.8,100.0
Fino a 2.000 abitanti                  ,"3,151","1,307",,596,310,210,190,,,,,,,Fino a 2.000 abitanti                  ,41.5,,18.9,9.8,6.7,6.0,,45.6,23.7,16.1,14.5,100.0
Da 2.001 a 10.000 abitanti             ,"13,476","5,937",,"2,746","1,471",941,780,,,,,,,Da 2.001 a 10.000 abitanti             ,44.1,,20.4,10.9,7.0,5.8,,46.3,24.8,15.8,13.1,100.0
Da 10.001 a 50.000 abitanti           ,"15,121","6,408",,"3,244","1,524",817,824,,,,,,,Da 10.001 a 50.000 abitanti           ,42.4,,21.5,10.1,5.4,5.4,,50.6,23.8,12.7,12.9,100.0
50.001 abitanti e più                ,"9,863","4,721",,"2,104","1,168",724,725,,,,,,,50.001 abitanti e più                ,47.9,,21.3,11.8,7.3,7.3,,44.6,24.7,15.3,15.4,100.0
Italia                                ,"57,019","26,219",,"12,054","6,375","3,975","3,814",,,,,,,Italia                                ,46.0,,21.1,11.2,7.0,6.7,,46.0,24.3,15.2,14.5,100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(a) Per 100 persone di 6 anni e più della stessa zona.,,,,,,,,,,,,
,,,,,,,,,,,,,,(b) Per 100 lettori di 6 anni e più della stessa zona.,,,,,,,,,,,,
