"Tavola 64 -Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,,,,"Tavola 64 segue - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,
"                     nei 12 mesi precedenti l'intervista,    per regione, ripartizione geografica e tipo di comune  - Anno 2020",,,,,,,,,,,,,,,,"                                 nei 12 mesi precedenti l'intervista,   per regione, ripartizione geografica e tipo di comune  - Anno 2020 ",,,,,,,,,,,
                    (per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,,,,,                                (dati in migliaia),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,,,,TERRITORIO,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri,,,,,,,,
Umbria   ,42.6,49.3,12.3,,,,,,,,,,,,,Umbria   ,356,176,44,,,,,,,,
Marche                                ,37.9,51.2,14.4,,,,,,,,,,,,,Marche                                ,546,279,79,,,,,,,,
Lazio                                 ,45.5,43.4,14.5,,,,,,,,,,,,,Lazio                                 ,"2,530","1,099",367,,,,,,,,
Abruzzo                               ,36.6,49.4,13.4,,,,,,,,,,,,,Abruzzo                               ,453,224,61,,,,,,,,
Molise                                ,33.0,58.6,9.0,,,,,,,,,,,,,Molise                                ,94,55,8,,,,,,,,
Campania                              ,28.3,57.1,9.3,,,,,,,,,,,,,Campania                              ,"1,545",882,143,,,,,,,,
Puglia                                ,30.6,54.6,8.4,,,,,,,,,,,,,Puglia                                ,"1,163",635,98,,,,,,,,
Basilicata                            ,28.8,56.4,9.6,,,,,,,,,,,,,Basilicata                            ,152,86,15,,,,,,,,
Calabria                              ,23.9,54.7,10.0,,,,,,,,,,,,,Calabria                              ,434,237,43,,,,,,,,
Sicilia                               ,29.5,55.5,11.6,,,,,,,,,,,,,Sicilia                               ,"1,385",769,160,,,,,,,,
Sardegna                              ,40.7,44.2,13.8,,,,,,,,,,,,,Sardegna                              ,633,280,87,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPARTIZIONI GEOGRAFICHE,,,,,,,,,,,,,,,,RIPARTIZIONI GEOGRAFICHE,,,,,,,,,,,
Italia nord-occidentale               ,48.2,40.2,17.7,,,,,,,,,,,,,Italia nord-occidentale               ,"7,344","2,951","1,299",,,,,,,,
Italia nord-orientale                 ,48.5,39.6,18.1,,,,,,,,,,,,,Italia nord-orientale                 ,"5,353","2,122",967,,,,,,,,
Italia centrale                       ,44.3,45.4,14.1,,,,,,,,,,,,,Italia centrale                       ,"5,036","2,285",710,,,,,,,,
Italia meridionale                    ,29.2,55.2,9.6,,,,,,,,,,,,,Italia meridionale                    ,"3,842","2,119",368,,,,,,,,
Italia insulare                       ,32.3,52.0,12.3,,,,,,,,,,,,,Italia insulare                       ,"2,018","1,049",247,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPI DI COMUNE,,,,,,,,,,,,,,,,TIPI DI COMUNE,,,,,,,,,,,
Comune centro dell'area metropolitana ,49.9,40,16.9,,,,,,,,,,,,,Comune centro dell'area metropolitana ,"4,298","1,721",725,,,,,,,,
Periferia dell'area metropolitana     ,42.9,48.9,12.6,,,,,,,,,,,,,Periferia dell'area metropolitana     ,"3,520","1,720",445,,,,,,,,
Fino a 2.000 abitanti                  ,35.6,43.6,18.1,,,,,,,,,,,,,Fino a 2.000 abitanti                  ,"1,034",451,187,,,,,,,,
Da 2.001 a 10.000 abitanti             ,37.5,46.1,15.0,,,,,,,,,,,,,Da 2.001 a 10.000 abitanti             ,"4,796","2,210",717,,,,,,,,
Da 10.001 a 50.000 abitanti           ,38.2,46.4,14.3,,,,,,,,,,,,,Da 10.001 a 50.000 abitanti           ,"5,677","2,636",811,,,,,,,,
50.001 abitanti e più                ,44.1,41.9,16.5,,,,,,,,,,,,,50.001 abitanti e più                ,"4,269","1,789",706,,,,,,,,
Italia                                ,41.4,44.6,15.2,,,,,,,,,,,,,Italia                                ,"23,593","10,527","3,591",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: Istat, Indagine annuale ""Aspetti della vita quotidiana"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
