"Tavola 55 -Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,,,,,"Tavola 55 segue - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,
"                     nei 12 mesi precedenti l'intervista,    per regione, ripartizione geografica e tipo di comune  - Anno 2021",,,,,,,,,,,,,,,,,"                                 nei 12 mesi precedenti l'intervista,   per regione, ripartizione geografica e tipo di comune  - Anno 2021",,,,,,,,,
                    (per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,,,,,,                                (dati in migliaia),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,,,,,TERRITORIO,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri,,,,,,
Umbria   ,44.0,45.9,14.4,,,,,,,,,,,,,,Umbria   ,366,168,53,,,,,,
Marche                                ,39.1,49.2,10.5,,,,,,,,,,,,,,Marche                                ,561,276,59,,,,,,
Lazio                                 ,45.1,41.3,16.0,,,,,,,,,,,,,,Lazio                                 ,"2,502","1,032",400,,,,,,
Abruzzo                               ,37.1,52.0,11.9,,,,,,,,,,,,,,Abruzzo                               ,458,238,54,,,,,,
Molise                                ,31.9,53.1,6.4,,,,,,,,,,,,,,Molise                                ,90,48,6,,,,,,
Campania                              ,28.1,53.3,10.7,,,,,,,,,,,,,,Campania                              ,"1,532",817,163,,,,,,
Puglia                                ,28.9,53.6,9.8,,,,,,,,,,,,,,Puglia                                ,"1,094",587,107,,,,,,
Basilicata                            ,32.5,57.0,7.9,,,,,,,,,,,,,,Basilicata                            ,171,97,13,,,,,,
Calabria                              ,28.3,54.0,10.3,,,,,,,,,,,,,,Calabria                              ,511,276,53,,,,,,
Sicilia                               ,27.4,52.9,9.5,,,,,,,,,,,,,,Sicilia                               ,"1,278",676,121,,,,,,
Sardegna                              ,42.6,40.2,19.1,,,,,,,,,,,,,,Sardegna                              ,660,265,126,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPARTIZIONI GEOGRAFICHE,,,,,,,,,,,,,,,,,RIPARTIZIONI GEOGRAFICHE,,,,,,,,,
Italia nord-occidentale               ,48.0,40.5,18.0,,,,,,,,,,,,,,Italia nord-occidentale               ,"7,285","2,948","1,312",,,,,,
Italia nord-orientale                 ,46.3,41.8,16.6,,,,,,,,,,,,,,Italia nord-orientale                 ,"5,099","2,131",846,,,,,,
Italia centrale                       ,44.4,42.4,14.8,,,,,,,,,,,,,,Italia centrale                       ,"5,039","2,139",744,,,,,,
Italia meridionale                    ,29.5,53.5,10.3,,,,,,,,,,,,,,Italia meridionale                    ,"3,856","2,063",397,,,,,,
Italia insulare                       ,31.1,48.6,12.7,,,,,,,,,,,,,,Italia insulare                       ,"1,938",941,247,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPI DI COMUNE,,,,,,,,,,,,,,,,,TIPI DI COMUNE,,,,,,,,,
Comune centro dell'area metropolitana ,49.7,37.1,19,,,,,,,,,,,,,,Comune centro dell'area metropolitana ,"4,282","1,590",813,,,,,,
Periferia dell'area metropolitana     ,41.4,44.6,14.5,,,,,,,,,,,,,,Periferia dell'area metropolitana     ,"3,394","1,513",492,,,,,,
Fino a 2.000 abitanti                  ,35.1,47.8,15.0,,,,,,,,,,,,,,Fino a 2.000 abitanti                  ,"1,013",484,152,,,,,,
Da 2.001 a 10.000 abitanti             ,36.5,46.5,14.5,,,,,,,,,,,,,,Da 2.001 a 10.000 abitanti             ,"4,647","2,161",672,,,,,,
Da 10.001 a 50.000 abitanti           ,39.0,46.4,14.0,,,,,,,,,,,,,,Da 10.001 a 50.000 abitanti           ,"5,761","2,676",808,,,,,,
50.001 abitanti e più                ,42.8,43.7,14.8,,,,,,,,,,,,,,50.001 abitanti e più                ,"4,120","1,800",609,,,,,,
Italia                                ,40.8,44.0,15.3,,,,,,,,,,,,,,Italia                                ,"23,216","10,223","3,546",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: Istat, Indagine annuale ""Aspetti della vita quotidiana"".",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
