Tavola 4 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi precedenti,,,,,,,,,,,,,Tavola 4 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi precedenti,,,,,,,,,,,,,
,"   l'intervista per numero di libri letti, sesso, classe di età e titolo di studio - Anno 2011",,,,,,,,,,,,,"   l'intervista per numero di libri letti, sesso, classe di età e titolo di studio - Anno 2011",,,,,,,,,,,,
,Licenza elementare ,"2,471","1,291",,673,324,164,130,,,,,,Licenza elementare ,52.2,,27.2,13.1,6.6,5.3,,52.1,25.1,12.7,10.1,100
,Totale             ,"5,715","2,683",,"1,406",668,370,239,,,,,,Totale             ,47,,24.6,11.7,6.5,4.2,,52.4,24.9,13.8,8.9,100
,,     ,     ,,     ,    ,     ,     ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
25-44,Laurea             ,"1,302",951,,290,275,205,181,,,,,25-44,Laurea             ,73,,22.3,21.1,15.7,13.9,,30.5,28.9,21.6,19,100
,Diploma superiore  ,"3,512","1,592",,883,358,206,146,,,,,,Diploma superiore  ,45.3,,25.1,10.2,5.9,4.1,,55.4,22.5,12.9,9.1,100
,Licenza media      ,"3,476",775,,472,144,93,66,,,,,,Licenza media      ,22.3,,13.6,4.1,2.7,1.9,,61,18.5,12.1,8.5,100
,Licenza elementare ,322,29,,20,4,3,2,,,,,,Licenza elementare ,9.1,,6.3,1.1,1,0.7,,69.7,12.5,10.6,7.2,100
,Totale             ,"8,612","3,348",,"1,666",780,508,394,,,,,,Totale             ,38.9,,19.3,9.1,5.9,4.6,,49.8,23.3,15.2,11.8,100
,,     ,     ,,     ,    ,     ,     ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
45-64,Laurea             ,933,732,,204,204,132,193,,,,,45-64,Laurea             ,78.5,,21.9,21.9,14.1,20.7,,27.8,27.9,18,26.3,100
,Diploma superiore  ,"2,319","1,243",,544,313,179,207,,,,,,Diploma superiore  ,53.6,,23.5,13.5,7.7,8.9,,43.8,25.2,14.4,16.6,100
,Licenza media      ,"3,725","1,034",,588,228,123,96,,,,,,Licenza media      ,27.8,,15.8,6.1,3.3,2.6,,56.9,22,11.9,9.2,100
,Licenza elementare ,"1,054",111,,76,15,13,6,,,,,,Licenza elementare ,10.5,,7.2,1.5,1.3,0.5,,68.8,13.9,12.1,5.1,100
,Totale             ,"8,030","3,120",,"1,412",760,447,501,,,,,,Totale             ,38.9,,17.6,9.5,5.6,6.2,,45.3,24.4,14.3,16.1,100
,,     ,     ,,     ,    ,     ,     ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
65 e più,Laurea             ,342,278,,74,76,34,94,,,,,65 e più,Laurea             ,81.3,,21.5,22.3,10.1,27.3,,26.5,27.5,12.4,33.7,100
,Diploma superiore  ,733,411,,198,83,52,78,,,,,,Diploma superiore  ,56.1,,27,11.3,7.2,10.7,,48.1,20.1,12.7,19.1,100
,Licenza media      ,"1,304",420,,227,96,35,62,,,,,,Licenza media      ,32.2,,17.4,7.3,2.7,4.8,,54,22.8,8.4,14.8,100
,Licenza elementare ,"2,762",332,,219,68,25,20,,,,,,Licenza elementare ,12,,7.9,2.5,0.9,0.7,,66,20.5,7.6,5.9,100
,Totale             ,"5,141","1,441",,717,323,147,254,,,,,,Totale             ,28,,13.9,6.3,2.9,4.9,,49.8,22.4,10.2,17.6,100
,,     ,     ,,     ,    ,     ,     ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
TOTALE,Laurea             ,"2,653","2,004",,587,567,382,469,,,,,TOTALE,Laurea             ,75.6,,22.1,21.4,14.4,17.7,,29.3,28.3,19,23.4,100
,Diploma superiore  ,"7,746","3,809",,"1,907",885,534,483,,,,,,Diploma superiore  ,49.2,,24.6,11.4,6.9,6.2,,50.1,23.2,14,12.7,100
,Licenza media      ,"10,490","3,017",,"1,719",669,351,278,,,,,,Licenza media      ,28.8,,16.4,6.4,3.3,2.7,,57,22.2,11.6,9.2,100
,Licenza elementare ,"6,609","1,762",,988,411,206,158,,,,,,Licenza elementare ,26.7,,14.9,6.2,3.1,2.4,,56.1,23.3,11.7,8.9,100
,Totale             ,"27,498","10,592",,"5,200","2,532","1,472","1,388",,,,,,Totale             ,38.5,,18.9,9.2,5.4,5,,49.1,23.9,13.9,13.1,100
,,,,,,,,,,,,,,,,,,,,,,,,,,
FEMMINE,,,,,,,,,,,,,FEMMINE,,,,,,,,,,,,,
,,      ,      ,,      ,      ,      ,      ,,,,,,,,,,,,,,,,,,
06-24',Laurea             ,104,94,,31,33,17,13,,,,,6-24',Laurea             ,90.6,,30.1,31.5,16.5,12.5,,33.3,34.8,18.2,13.8,100
,Diploma superiore  ,"1,176",819,,344,241,144,89,,,,,,Diploma superiore  ,69.6,,29.3,20.5,12.3,7.6,,42,29.4,17.6,10.9,100
,Licenza media      ,"1,836","1,156",,513,334,167,141,,,,,,Licenza media      ,63,,28,18.2,9.1,7.7,,44.4,28.9,14.5,12.2,100
,Licenza elementare ,"2,317","1,373",,608,381,219,165,,,,,,Licenza elementare ,59.3,,26.3,16.5,9.4,7.1,,44.3,27.8,15.9,12,100
,Totale             ,"5,432","3,442",,"1,497",989,548,408,,,,,,Totale             ,63.4,,27.6,18.2,10.1,7.5,,43.5,28.7,15.9,11.9,100
,,     ,     ,,      ,      ,      ,      ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
25-44,Laurea             ,"1,744","1,483",,450,404,323,306,,,,,25-44,Laurea             ,85,,25.8,23.1,18.5,17.5,,30.4,27.2,21.8,20.6,100
,Diploma superiore  ,"3,636","2,288",,"1,052",625,357,255,,,,,,Diploma superiore  ,62.9,,28.9,17.2,9.8,7,,46,27.3,15.6,11.1,100
,Licenza media      ,"2,907","1,299",,772,304,146,77,,,,,,Licenza media      ,44.7,,26.6,10.5,5,2.7,,59.4,23.4,11.2,6,100
,Licenza elementare ,297,57,,36,11,6,4,,,,,,Licenza elementare ,19.1,,12.1,3.6,1.9,1.4,,63.6,19,9.8,7.6,100
,Totale             ,"8,584","5,127",,"2,310","1,343",831,642,,,,,,Totale             ,59.7,,26.9,15.6,9.7,7.5,,45.1,26.2,16.2,12.5,100
,,     ,     ,,      ,      ,      ,      ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
45-64,Laurea             ,888,786,,160,197,201,228,,,,,45-64,Laurea             ,88.6,,18,22.2,22.6,25.7,,20.3,25.1,25.5,29,100
,Diploma superiore  ,"2,338","1,708",,642,450,324,292,,,,,,Diploma superiore  ,73.1,,27.4,19.3,13.9,12.5,,37.6,26.4,19,17.1,100
,Licenza media      ,"3,519","1,611",,782,396,248,185,,,,,,Licenza media      ,45.8,,22.2,11.2,7,5.3,,48.6,24.6,15.4,11.5,100
,Licenza elementare ,"1,619",342,,196,89,34,24,,,,,,Licenza elementare ,21.1,,12.1,5.5,2.1,1.5,,57.3,25.9,9.8,7,100
,Totale             ,"8,363","4,447",,"1,780","1,132",806,729,,,,,,Totale             ,53.2,,21.3,13.5,9.6,8.7,,40,25.5,18.1,16.4,100
,,     ,     ,,      ,      ,      ,      ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
65 e più,Laurea             ,183,150,,27,30,32,61,,,,,65 e più,Laurea             ,82,,14.9,16.4,17.5,33.2,,18.2,20,21.3,40.5,100
,Diploma superiore  ,663,470,,138,115,89,128,,,,,,Diploma superiore  ,70.8,,20.9,17.3,13.4,19.2,,29.5,24.4,18.9,27.2,100
,Licenza media      ,"1,328",658,,285,175,98,101,,,,,,Licenza media      ,49.5,,21.4,13.1,7.3,7.6,,43.3,26.6,14.8,15.3,100
,Licenza elementare ,"4,756",823,,494,146,89,95,,,,,,Licenza elementare ,17.3,,10.4,3.1,1.9,2,,60,17.7,10.8,11.5,100
,Totale             ,"6,930","2,100",,944,465,307,384,,,,,,Totale             ,30.3,,13.6,6.7,4.4,5.5,,45,22.1,14.6,18.3,100
,,     ,     ,,      ,      ,      ,      ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
TOTALE,Laurea             ,"2,918","2,513",,669,664,573,608,,,,,TOTALE,Laurea             ,86.1,,22.9,22.7,19.6,20.8,,26.6,26.4,22.8,24.2,100
,Diploma superiore  ,"7,813","5,284",,"2,176","1,430",914,763,,,,,,Diploma superiore  ,67.6,,27.8,18.3,11.7,9.8,,41.2,27.1,17.3,14.4,100
,Licenza media      ,"9,590","4,724",,"2,352","1,209",658,505,,,,,,Licenza media      ,49.3,,24.5,12.6,6.9,5.3,,49.8,25.6,13.9,10.7,100
,Licenza elementare ,"8,989","2,595",,"1,334",627,347,287,,,,,,Licenza elementare ,28.9,,14.8,7,3.9,3.2,,51.4,24.1,13.4,11.1,100
,Totale             ,"29,310","15,116",,"6,531","3,929","2,493","2,163",,,,,,Totale             ,51.6,,22.3,13.4,8.5,7.4,,43.2,26,16.5,14.3,100
,,,,,,,,,,,,,,,,,,,,,,,,,,
MASCHI E FEMMINE,,,,,,,,,,,,,MASCHI E FEMMINE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
06-24',Laurea             ,179,137,,50,44,28,14,,,,,6-24',Laurea             ,76.3,,28.1,24.7,15.5,8,,36.8,32.4,20.3,10.6,100
,Diploma superiore  ,"2,359","1,381",,627,372,241,142,,,,,,Diploma superiore  ,58.6,,26.6,15.8,10.2,6,,45.4,26.9,17.4,10.3,100
,Licenza media      ,"3,821","1,943",,944,536,267,196,,,,,,Licenza media      ,50.9,,24.7,14,7,5.1,,48.6,27.6,13.7,10.1,100
,Licenza elementare ,"4,788","2,664",,"1,281",705,383,295,,,,,,Licenza elementare ,55.6,,26.8,14.7,8,6.2,,48.1,26.5,14.4,11.1,100
,Totale             ,"11,147","6,125",,"2,902","1,657",918,647,,,,,,Totale             ,54.9,,26,14.9,8.2,5.8,,47.4,27.1,15,10.6,100
,,     ,     ,,     ,      ,     ,    ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
25-44,Laurea             ,"3,046","2,434",,740,679,528,486,,,,,25-44,Laurea             ,79.9,,24.3,22.3,17.4,16,,30.4,27.9,21.7,20,100
,Diploma superiore  ,"7,148","3,880",,"1,934",983,563,400,,,,,,Diploma superiore  ,54.3,,27.1,13.7,7.9,5.6,,49.9,25.3,14.5,10.3,100
,Licenza media      ,"6,383","2,074",,"1,244",448,239,143,,,,,,Licenza media      ,32.5,,19.5,7,3.7,2.2,,60,21.6,11.5,6.9,100
,Licenza elementare ,619,86,,56,14,9,6,,,,,,Licenza elementare ,13.9,,9.1,2.3,1.4,1,,65.7,16.8,10,7.5,100
,Totale             ,"17,196","8,474",,"3,976","2,124","1,339","1,036",,,,,,Totale             ,49.3,,23.1,12.3,7.8,6,,46.9,25.1,15.8,12.2,100
,,     ,     ,,     ,      ,     ,    ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
45-64,Laurea             ,"1,821","1,519",,364,401,332,421,,,,,45-64,Laurea             ,83.4,,20,22,18.3,23.1,,24,26.4,21.9,27.7,100
,Diploma superiore  ,"4,656","2,950",,"1,185",763,504,498,,,,,,Diploma superiore  ,63.4,,25.5,16.4,10.8,10.7,,40.2,25.9,17.1,16.9,100
,Licenza media      ,"7,243","2,645",,"1,370",623,371,281,,,,,,Licenza media      ,36.5,,18.9,8.6,5.1,3.9,,51.8,23.6,14,10.6,100
,Licenza elementare ,"2,673",453,,272,104,47,29,,,,,,Licenza elementare ,16.9,,10.2,3.9,1.8,1.1,,60.1,23,10.4,6.5,100
,Totale             ,"16,393","7,567",,"3,192","1,892","1,253","1,230",,,,,,Totale             ,46.2,,19.5,11.5,7.6,7.5,,42.2,25,16.6,16.3,100
,,     ,     ,,     ,      ,     ,    ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
65 e più,Laurea             ,525,428,,101,106,66,154,,,,,65 e più,Laurea             ,81.5,,19.2,20.3,12.7,29.4,,23.6,24.9,15.5,36.1,100
,Diploma superiore  ,"1,396",881,,336,197,141,206,,,,,,Diploma superiore  ,63.1,,24.1,14.1,10.1,14.8,,38.2,22.4,16.1,23.4,100
,Licenza media      ,"2,632","1,078",,511,270,133,163,,,,,,Licenza media      ,40.9,,19.4,10.3,5,6.2,,47.5,25.1,12.3,15.1,100
,Licenza elementare ,"7,519","1,155",,713,214,114,114,,,,,,Licenza elementare ,15.4,,9.5,2.8,1.5,1.5,,61.7,18.5,9.9,9.9,100
,Totale             ,"12,072","3,541",,"1,661",788,455,637,,,,,,Totale             ,29.3,,13.8,6.5,3.8,5.3,,46.9,22.2,12.8,18,100
,,     ,     ,,     ,      ,     ,    ,,,,,,,    ,,    ,    ,    ,    ,,    ,    ,    ,    ,     
TOTALE,Laurea             ,"5,571","4,517",,"1,255","1,231",955,"1,076",,,,,TOTALE,Laurea             ,81.1,,22.5,22.1,17.1,19.3,,27.8,27.2,21.1,23.8,100
,Diploma superiore  ,"15,559","9,093",,"4,083","2,315","1,448","1,247",,,,,,Diploma superiore  ,58.4,,26.2,14.9,9.3,8,,44.9,25.5,15.9,13.7,100
,Licenza media      ,"20,080","7,740",,"4,071","1,877","1,010",783,,,,,,Licenza media      ,38.5,,20.3,9.3,5,3.9,,52.6,24.3,13,10.1,100
,Licenza elementare ,"15,598","4,357",,"2,322","1,037",552,445,,,,,,Licenza elementare ,27.9,,14.9,6.7,3.5,2.9,,53.3,23.8,12.7,10.2,100
,Totale             ,"56,808","25,708",,"11,731","6,461","3,965","3,551",,,,,,Totale             ,45.3,,20.7,11.4,7,6.3,,45.6,25.1,15.4,13.8,100
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"(a) Per 100 persone di 6 anni e più dello stesso sesso, classe di età e titolo di studio.",,,,,,,,,,,,,
,,,,,,,,,,,,,"(b) Per 100 lettori di 6 anni e più dello stesso sesso, classe di età e titolo di studio.",,,,,,,,,,,,,
