"Tavola 59 - Persone di 6 anni e più per abitudine alla lettura di libri cartacei, e-book/libri on line e l'ascolto di audiolibri e ",,,,,,,,,,,,,,,,,,,"Tavola 59 segue - Persone di 6 anni e più per abitudine alla lettura di libri cartacei, e-book/libri on line e l'ascolto di audiolibri e ",,,,,,,,,
"                      Lettori di 6 anni e più che leggono solo libri cartacei, solo ebook/libri on line o che utilizzano più dispositivi per la lettura",,,,,,,,,,,,,,,,,,,"                                  Lettori di 6 anni e più che leggono solo libri cartacei, solo ebook/libri on line o che utilizzano più dispositivi per la lettura",,,,,,,,,
                      (libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri),,,,,,,,,,,,,,,,,,,                                  (libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri),,,,,,,,,
"                     per regione, ripartizione geografica e tipo di comune - Anno 2022 (per 100 persone di 6 anni e più della stessa zona)",,,,,,,,,,,,,,,,,,,"                                  per regione, ripartizione geografica e tipo di comune - Anno 2022 (dati in migliaia)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO,Libri cartacei (a),"Ebook/libri online 
(a)","Audiolibri 
(a)",,Solo Libri cartacei (b),"Solo ebook-libri on line
(b)","Uso di più dispositivi per la lettura (Libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri) 
(b)",,,,,,,,,,,,TERRITORIO,Libri cartacei ,Ebook/libri online,Audiolibri ,,Solo Libri cartacei,Solo ebook-libri on line,"Uso di più dispositivi per la lettura (Libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri) 
(b)",,
Umbria   ,34.7,9.4,1.6,,74.4,10.7,14.8,,,,,,,,,,,,Umbria   ,284,77,13,,237,34,47,,
Marche                                ,33.5,10.0,2.4,,70.7,10.0,18.2,,,,,,,,,,,,Marche                                ,475,142,34,,379,54,98,,
Lazio                                 ,37.1,13.3,1.8,,67.5,13.1,19.3,,,,,,,,,,,,Lazio                                 ,"2,020",725,97,,"1,575",306,449,,
Abruzzo                               ,29.2,10.7,3.0,,67.4,15.0,16.8,,,,,,,,,,,,Abruzzo                               ,355,130,36,,286,64,71,,
Molise                                ,31.0,10.7,0.8,,69.2,13.6,16.8,,,,,,,,,,,,Molise                                ,86,30,2,,69,14,17,,
Campania                              ,21.8,9.8,0.8,,63.0,20.1,16.7,,,,,,,,,,,,Campania                              ,"1,150",516,43,,909,291,241,,
Puglia                                ,22.5,7.6,1.2,,70.6,17.5,11.6,,,,,,,,,,,,Puglia                                ,836,284,43,,721,179,119,,
Basilicata                            ,22.0,8.7,0.5,,68.0,19.6,12.2,,,,,,,,,,,,Basilicata                            ,113,45,2,,96,28,17,,
Calabria                              ,18.9,10.0,1.0,,59.0,21.8,19.2,,,,,,,,,,,,Calabria                              ,331,175,17,,252,93,82,,
Sicilia                               ,20.3,7.0,0.8,,69.8,15.2,14.8,,,,,,,,,,,,Sicilia                               ,922,318,35,,762,166,162,,
Sardegna                              ,34.4,11.0,1.5,,71.0,13.0,15.2,,,,,,,,,,,,Sardegna                              ,521,167,22,,430,79,92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPARTIZIONI GEOGRAFICHE,,,,,,,,,,,,,,,,,,,RIPARTIZIONI GEOGRAFICHE,,,,,,,,,
Italia nord-occidentale               ,41.3,12.2,2.3,,71.2,10.1,18.2,,,,,,,,,,,,Italia nord-occidentale               ,"6,224","1,835",353,,"4,968",703,"1,269",,
Italia nord-orientale                 ,40.2,12.6,2.7,,70.6,11.0,17.9,,,,,,,,,,,,Italia nord-orientale                 ,"4,419","1,381",291,,"3,551",554,898,,
Italia centrale                       ,37.2,12.0,2.1,,69.8,11.7,18.1,,,,,,,,,,,,Italia centrale                       ,"4,157","1,342",240,,"3,308",553,860,,
Italia meridionale                    ,22.5,9.2,1.1,,65.6,18.8,15.4,,,,,,,,,,,,Italia meridionale                    ,"2,870","1,179",144,,"2,334",668,547,,
Italia insulare                       ,23.8,8.0,0.9,,70.2,14.4,15.0,,,,,,,,,,,,Italia insulare                       ,"1,443",485,57,,"1,192",244,254,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPI DI COMUNE,,,,,,,,,,,,,,,,,,,TIPI DI COMUNE,,,,,,,,,
Comune centro dell'area metropolitana ,42.2,14.6,2.2,,67.7,10.9,20.9,,,,,,,,,,,,Comune centro dell'area metropolitana ,"3,565","1,231",184,,"2,733",440,843,,
Periferia dell'area metropolitana     ,34.3,11.0,1.7,,70.4,12.5,16.7,,,,,,,,,,,,Periferia dell'area metropolitana     ,"2,766",885,140,,"2,241",400,532,,
Fino a 2.000 abitanti                  ,31.7,9.7,2.2,,71.3,12.2,16.1,,,,,,,,,,,,Fino a 2.000 abitanti                  ,908,279,62,,742,127,167,,
Da 2.001 a 10.000 abitanti             ,31.8,10.0,1.8,,70.8,13.2,15.5,,,,,,,,,,,,Da 2.001 a 10.000 abitanti             ,3996,1259,225,,3284,611,718,,
Da 10.001 a 50.000 abitanti           ,31.9,10.0,2.1,,70.5,11.6,17.4,,,,,,,,,,,,Da 10.001 a 50.000 abitanti           ,"4,655","1,458",309,,"3,757",621,929,,
50.001 abitanti e più                ,34.0,11.7,1.7,,68.8,13.9,17.0,,,,,,,,,,,,50.001 abitanti e più                ,"3,221","1,112",165,,"2,597",525,640,,
Italia                                ,34.1,11.1,1.9,,69.8,12.4,17.4,,,,,,,,,,,,Italia                                ,"19,113","6,224","1,085",,"15,354","2,723","3,829",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Per 100 persone di 6 anni e più,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Per 100 persone di 6 anni e più che hanno letto almeno un libro nell'anno,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: Indagine ""Aspetti della vita quotidiana"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,      ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
