Tavola 3 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,Tavola 3 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,,
"                   precedenti l'intervista per numero di libri letti, regione, ripartizione geografica e tipo ",,,,,,,,,,,,"                   precedenti l'intervista per numero di libri letti, regione, ripartizione geografica e tipo ",,,,,,,,,,,,,
                   di comune - Anno 2011,,,,,,,,,,,,                   di comune - Anno 2011,,,,,,,,,,,,,
                   (dati in migliaia),,,,,,,,,,,,                   (dati percentuale: per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,,
                                  ,,,,,,,,,,,,,,,,,,,,,,,,,
"REGIONI,
RIPARTIZIONI GEOGRAFICHE
E TIPI DI COMUNE","Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,"REGIONI,
RIPARTIZIONI GEOGRAFICHE
E TIPI DI COMUNE","Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,,
Liguria                               ,"1,529",853,,369,211,142,130,,,,,Liguria                               ,55.8,,24.1,13.8,9.3,8.5,,43.3,24.8,16.7,15.2,100.0,
Emilia-Romagna                        ,"4,150","2,052",,825,517,349,362,,,,,Emilia-Romagna                        ,49.5,,19.9,12.4,8.4,8.7,,40.2,25.2,17.0,17.6,100.0,
Toscana                               ,"3,527","1,781",,769,425,336,251,,,,,Toscana                               ,50.5,,21.8,12.1,9.5,7.1,,43.2,23.9,18.9,14.1,100.0,
Umbria                                ,852,341,,164,89,46,42,,,,,Umbria                                ,40.0,,19.3,10.4,5.4,4.9,,48.2,26.0,13.4,12.3,100.0,
Marche                                ,"1,471",639,,324,164,90,61,,,,,Marche                                ,43.4,,22.0,11.2,6.1,4.1,,50.7,25.7,14.1,9.5,100.0,
Lazio                                 ,"5,355","2,628",,"1,230",643,377,378,,,,,Lazio                                 ,49.1,,23.0,12.0,7.0,7.1,,46.8,24.5,14.4,14.4,100.0,
Abruzzo                               ,"1,266",510,,249,155,66,40,,,,,Abruzzo                               ,40.3,,19.6,12.3,5.2,3.1,,48.7,30.5,13.0,7.8,100.0,
Molise                                ,303,111,,69,26,10,7,,,,,Molise                                ,36.7,,22.7,8.5,3.3,2.2,,61.8,23.1,9.1,6.0,100.0,
Campania                              ,"5,452","1,627",,"1,008",360,177,83,,,,,Campania                              ,29.8,,18.5,6.6,3.3,1.5,,61.9,22.1,10.9,5.1,100.0,
Puglia                                ,"3,848","1,213",,760,240,117,96,,,,,Puglia                                ,31.5,,19.8,6.2,3.0,2.5,,62.7,19.8,9.6,7.9,100.0,
Basilicata                            ,556,182,,98,46,24,14,,,,,Basilicata                            ,32.8,,17.6,8.3,4.4,2.5,,53.7,25.2,13.4,7.6,100.0,
Calabria                              ,"1,893",598,,363,131,64,38,,,,,Calabria                              ,31.6,,19.2,6.9,3.4,2.0,,60.8,22.0,10.8,6.4,100.0,
Sicilia                               ,"4,733","1,441",,851,325,172,93,,,,,Sicilia                               ,30.5,,18.0,6.9,3.6,2.0,,59.1,22.6,11.9,6.5,100.0,
Sardegna                              ,"1,586",740,,338,197,108,97,,,,,Sardegna                              ,46.7,,21.3,12.4,6.8,6.1,,45.7,26.6,14.6,13.1,100.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
Nord-ovest,"15,092","8,114",,"3,141","2,195","1,366","1,412",,,,,Nord-ovest,53.8,,20.8,14.5,9.1,9.4,,38.7,27.0,16.8,17.4,100.0,
Nord-est,"10,874","5,782",,"2,367","1,464","1,011",940,,,,,Nord-est,53.2,,21.8,13.5,9.3,8.6,,40.9,25.3,17.5,16.3,100.0,
Centro,"11,204","5,389",,"2,487","1,321",849,732,,,,,Centro,48.1,,22.2,11.8,7.6,6.5,,46.1,24.5,15.8,13.6,100.0,
Sud,"13,320","4,242",,"2,547",958,460,277,,,,,Sud,31.8,,19.1,7.2,3.4,2.1,,60.0,22.6,10.8,6.5,100.0,
Isole,"6,318","2,182",,"1,189",522,280,190,,,,,Isole,34.5,,18.8,8.3,4.4,3.0,,54.5,23.9,12.8,8.7,100.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
Comune centro dell'area metropolitana ,"8,427","4,565",,"1,760","1,174",741,891,,,,,Comune centro dell'area metropolitana ,54.2,,20.9,13.9,8.8,10.6,,38.6,25.7,16.2,19.5,100.0,
Periferia dell'area metropolitana     ,"6,904","3,181",,"1,423",817,463,478,,,,,Periferia dell'area metropolitana     ,46.1,,20.6,11.8,6.7,6.9,,44.7,25.7,14.6,15.0,100.0,
Fino a 2.000 abitanti                  ,"3,186","1,295",,595,335,204,161,,,,,Fino a 2.000 abitanti                  ,40.7,,18.7,10.5,6.4,5.0,,45.9,25.9,15.8,12.4,100.0,
Da 2.001 a 10.000 abitanti             ,"13,457","5,667",,"2,744","1,417",865,641,,,,,Da 2.001 a 10.000 abitanti             ,42.1,,20.4,10.5,6.4,4.8,,48.4,25.0,15.3,11.3,100.0,
Da 10.001 a 50.000 abitanti           ,"15,030","6,379",,"3,154","1,537",928,760,,,,,Da 10.001 a 50.000 abitanti           ,42.4,,21.0,10.2,6.2,5.1,,49.4,24.1,14.5,11.9,100.0,
50.001 abitanti e più                ,"9,805","4,620",,"2,055","1,181",764,620,,,,,50.001 abitanti e più                ,47.1,,21.0,12.0,7.8,6.3,,44.5,25.6,16.5,13.4,100.0,
Italia                                ,"56,808","25,708",,"11,731","6,461","3,965","3,551",,,,,Italia                                ,45.3,,20.7,11.4,7.0,6.3,,45.6,25.1,15.4,13.8,100.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,(a) Per 100 persone di 6 anni e più della stessa zona.,,,,,,,,,,,,,
,,,,,,,,,,,,(b) Per 100 lettori di 6 anni e più della stessa zona.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
