Tavola 4 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi precedenti,,,,,,,,,,,,,,,,,,,,Tavola 4 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi precedenti,,,,,,,,
,"    l'intervista per numero di libri letti, sesso, classe di età e titolo di studio - Anno 2015",,,,,,,,,,,,,,,,,,,,"   l'intervista per numero di libri letti, sesso, classe di età e titolo di studio - Anno 2015",,,,,,,
,Licenza media      ,41.6,,20.5,10.5,5.9,4.7,,49.4,25.2,14.1,11.4,100,,,,,,,,Licenza media      ,"7,921","3,294",,"1,627",829,463,375
,Licenza elementare ,27.2,,14.1,6.2,3.9,2.9,,52,23,14.2,10.8,100,,,,,,,,Licenza elementare ,"8,155","2,216",,"1,152",510,315,240
,Totale             ,48.6,,20.9,12.9,7.8,7.1,,42.9,26.5,16,14.6,100,,,,,,,,Totale             ,"29,536","14,347",,"6,159","3,805","2,291","2,091"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASCHI E FEMMINE,,,,,,,,,,,,,,,,,,,,MASCHI E FEMMINE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-24',Laurea             ,76,,26.6,20.9,15,13.5,,35,27.5,19.8,17.7,100,,,,,,,6-24',Laurea e post-laurea,251,191,,67,53,38,34
,Diploma superiore  ,51.1,,22.9,15.5,7.8,4.9,,44.7,30.4,15.3,9.7,100,,,,,,,,Diploma superiore  ,"2,591","1,325",,593,402,202,128
,Licenza media      ,49,,24.3,12.5,6.9,5.2,,49.6,25.5,14.2,10.7,100,,,,,,,,Licenza media      ,"3,454","1,691",,839,432,240,181
,Licenza elementare ,47.1,,23.5,11.3,7.1,5.1,,49.9,24.1,15.1,10.9,100,,,,,,,,Licenza elementare ,"4,799","2,259",,"1,128",545,340,246
,Totale             ,49.3,,23.7,12.9,7.4,5.3,,48.1,26.2,15,10.8,100,,,,,,,,Totale             ,"11,096","5,466",,"2,626","1,431",820,588
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
25-44,Laurea             ,71.8,,27.8,19.9,12.4,11.7,,38.7,27.7,17.3,16.3,100,,,,,,,25-44,Laurea e post-laurea,"3,714","2,666",,"1,032",740,460,434
,Diploma superiore  ,44.6,,23.4,10.9,6.3,4.1,,52.4,24.3,14.1,9.2,100,,,,,,,,Diploma superiore  ,"7,414","3,308",,"1,734",805,465,304
,Licenza media      ,23.6,,15.3,4.8,2.3,1.2,,64.7,20.4,9.7,5.3,100,,,,,,,,Licenza media      ,"4,339","1,026",,664,209,99,54
,Licenza elementare ,12.3,,9.1,1.7,1.4,0.2,,73.7,13.6,11.2,1.5,100,,,,,,,,Licenza elementare ,461,57,,42,8,6,1
,Totale             ,44.3,,21.8,11.1,6.5,5,,49.2,25,14.6,11.2,100,,,,,,,,Totale             ,"15,929","7,057",,"3,472","1,762","1,031",792
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
45-64,Laurea             ,78.9,,22.7,21.4,15.8,18.9,,28.8,27.2,20.1,23.9,100,,,,,,,45-64,Laurea e post-laurea,"2,465","1,944",,560,528,390,465
,Diploma superiore  ,54,,22.2,15.2,8.5,8.1,,41.2,28.1,15.7,15,100,,,,,,,,Diploma superiore  ,"6,617","3,573",,"1,472","1,003",562,536
,Licenza media      ,28.3,,14.5,7.4,3.5,2.9,,51.2,26.1,12.4,10.2,100,,,,,,,,Licenza media      ,"6,329","1,790",,917,468,223,182
,Licenza elementare ,13.4,,8.9,2.1,1.4,1,,66.3,15.6,10.6,7.5,100,,,,,,,,Licenza elementare ,"1,809",243,,161,38,26,18
,Totale             ,43.8,,18.1,11.8,7,7,,41.2,27,15.9,15.9,100,,,,,,,,Totale             ,"17,220","7,550",,"3,110","2,037","1,201","1,202"
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
65 e più,Laurea             ,77.8,,22.1,18.2,16.1,21.4,,28.4,23.4,20.7,27.5,100,,,,,,,65 e più,Laurea e post-laurea,879,684,,194,160,141,188
,Diploma superiore  ,56.2,,21.9,14.3,8.2,11.9,,38.9,25.4,14.6,21.1,100,,,,,,,,Diploma superiore  ,"2,247","1,264",,492,321,184,267
,Licenza media      ,33.6,,15.6,8.1,4.8,5.2,,46.2,24,14.4,15.4,100,,,,,,,,Licenza media      ,"2,799",941,,435,226,135,145
,Licenza elementare ,15.3,,8.7,3.4,1.6,1.6,,56.7,22.4,10.3,10.6,100,,,,,,,,Licenza elementare ,"7,102","1,089",,617,244,113,116
,Totale             ,30.5,,13.3,7.3,4.4,5.5,,43.7,23.9,14.4,18,100,,,,,,,,Totale             ,"13,027","3,978",,"1,738",951,573,716
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
TOTALE,Laurea             ,75,,25.4,20.3,14.1,15.3,,33.8,27,18.8,20.4,100,,,,,,,TOTALE,Laurea e post-laurea,"7,309","5,484",,"1,853","1,481","1,030","1,121"
,Diploma superiore  ,50.2,,22.7,13.4,7.5,6.5,,45.3,26.7,14.9,13,100,,,,,,,,Diploma superiore  ,"18,869","9,469",,"4,290","2,532","1,413","1,235"
,Licenza media      ,32.2,,16.9,7.9,4.1,3.3,,52.4,24.5,12.8,10.3,100,,,,,,,,Licenza media      ,"16,921","5,449",,"2,855","1,335",697,562
,Licenza elementare ,25.7,,13.7,5.9,3.4,2.7,,53.4,22.9,13.3,10.4,100,,,,,,,,Licenza elementare ,"14,172","3,648",,"1,948",834,485,381
,Totale             ,42,,19.1,10.8,6.3,5.8,,45.5,25.7,15.1,13.7,100,,,,,,,,Totale             ,"57,272","24,051",,"10,947","6,181","3,624","3,298"
