"Tavola 56 -Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,"Tavola 56 segue - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,
"                     nei 12 mesi precedenti l'intervista,    per regione, ripartizione geografica e tipo di comune  - Anno 2018 ",,,,,,,,,,,,,"                                 nei 12 mesi precedenti l'intervista,   per regione, ripartizione geografica e tipo di comune  - Anno 2018 ",,,,,,,,,,,,,
                    (per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,,                                (dati in migliaia),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,TERRITORIO,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri,,,,,,,,,,
Umbria   ,42.3,56.0,11.8,,,,,,,,,,Umbria   ,355,199,42,,,,,,,,,,
Marche                                ,37.4,50.8,11.2,,,,,,,,,,Marche                                ,544,276,61,,,,,,,,,,
Lazio                                 ,42.3,46.0,12.4,,,,,,,,,,Lazio                                 ,"2,354","1,083",293,,,,,,,,,,
Abruzzo                               ,32.1,55.2,10.3,,,,,,,,,,Abruzzo                               ,401,221,41,,,,,,,,,,
Molise                                ,28.8,47.3,14.2,,,,,,,,,,Molise                                ,85,40,12,,,,,,,,,,
Campania                              ,25.1,61.6,7.0,,,,,,,,,,Campania                              ,"1,379",850,96,,,,,,,,,,
Puglia                                ,26.5,57.5,7.0,,,,,,,,,,Puglia                                ,"1,021",587,72,,,,,,,,,,
Basilicata                            ,33.1,52.7,11.0,,,,,,,,,,Basilicata                            ,179,94,20,,,,,,,,,,
Calabria                              ,26.1,60.1,6.8,,,,,,,,,,Calabria                              ,484,291,33,,,,,,,,,,
Sicilia                               ,24.9,52.9,8.1,,,,,,,,,,Sicilia                               ,"1,182",626,96,,,,,,,,,,
Sardegna                              ,44.7,46.2,13.3,,,,,,,,,,Sardegna                              ,704,325,93,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPARTIZIONI GEOGRAFICHE,,,,,,,,,,,,,RIPARTIZIONI GEOGRAFICHE,,,,,,,,,,,,,
Italia nord-occidentale               ,49.4,41.2,18.5,,,,,,,,,,Italia nord-occidentale               ,"7,513","3,096","1,387",,,,,,,,,,
Italia nord-orientale                 ,48.4,44.1,16.1,,,,,,,,,,Italia nord-orientale                 ,"5,317","2,344",858,,,,,,,,,,
Italia centrale                       ,43.5,46.9,12.5,,,,,,,,,,Italia centrale                       ,"4,967","2,328",621,,,,,,,,,,
Italia meridionale                    ,26.7,58.7,7.7,,,,,,,,,,Italia meridionale                    ,"3,549","2,084",274,,,,,,,,,,
Italia insulare                       ,29.8,50.4,10.0,,,,,,,,,,Italia insulare                       ,"1,885",951,189,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPI DI COMUNE,,,,,,,,,,,,,TIPI DI COMUNE,,,,,,,,,,,,,
Comune centro dell'area metropolitana ,49.2,41.5,17.5,,,,,,,,,,Comune centro dell'area metropolitana ,"4,255","1,766",744,,,,,,,,,,
Periferia dell'area metropolitana     ,42.5,46.8,14.5,,,,,,,,,,Periferia dell'area metropolitana     ,"3,444","1,612",498,,,,,,,,,,
Fino a 2.000 abitanti                  ,36.1,44.3,16.6,,,,,,,,,,Fino a 2.000 abitanti                  ,"1,106",489,184,,,,,,,,,,
Da 2.001 a 10.000 abitanti             ,38.1,49.0,13.1,,,,,,,,,,Da 2.001 a 10.000 abitanti             ,"4,922","2,411",643,,,,,,,,,,
Da 10.001 a 50.000 abitanti           ,37.0,49.6,12.5,,,,,,,,,,Da 10.001 a 50.000 abitanti           ,"5,507","2,729",687,,,,,,,,,,
50.001 abitanti e più                ,41.5,44.9,14.3,,,,,,,,,,50.001 abitanti e più                ,"3,998","1,795",573,,,,,,,,,,
Italia                                ,40.6,46.5,14.3,,,,,,,,,,Italia                                ,"23,231","10,802","3,328",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,
(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: Istat, Indagine annuale ""Aspetti della vita quotidiana"".",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
